City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Cockburn Town,TC,21.4612,-71.1419,78.24,74,65,14.7,broken clouds
224,Jinxiang,CN,27.4327,120.6062,47.7,81,100,5.1,overcast clouds
225,Contamana,PE,-7.3333,-75.0167,92.64,49,98,3.94,overcast clouds
226,Palmares Do Sul,BR,-30.2578,-50.5097,83.73,46,3,9.8,clear sky
227,Presidente Epitacio,BR,-21.7633,-52.1156,98.96,27,100,8.08,overcast clouds
228,Khatanga,RU,71.9667,102.5,-16.83,93,8,6.76,clear sky
229,Sitka,US,57.0531,-135.33,33.69,80,20,3.44,few clouds
230,Okhotsk,RU,59.3833,143.3,-13.45,76,63,16.62,broken clouds
231,Andenes,NO,69.3143,16.1194,22.98,74,0,13.8,clear sky
232,Witbank,ZA,-25.8713,29.2332,74.37,31,7,11.97,clear sky
233,Jamestown,US,42.097,-79.2353,38.52,64,90,5.01,overcast clouds
234,Chake Chake,TZ,-5.2459,39.7666,79.72,78,79,8.61,broken clouds
235,Constitucion,CL,-35.3333,-72.4167,68.92,70,92,6.71,overcast clouds
236,Palomares,MX,17.15,-95.0667,78.35,66,15,16.93,few clouds
237,Boddam,GB,57.4667,-1.7833,41.38,89,100,10.47,overcast clouds
238,Port Alfred,ZA,-33.5906,26.891,69.28,76,2,22.64,clear sky
239,Roald,NO,62.5833,6.1333,36.34,69,75,13.8,broken clouds
240,Meulaboh,ID,4.1363,96.1285,77.83,84,81,1.3,broken clouds
241,San Quintin,MX,30.4833,-115.95,56.48,79,100,11.01,overcast clouds
242,Makakilo City,US,21.3469,-158.0858,73.0,74,1,3.44,clear sky
243,Fairbanks,US,64.8378,-147.7164,18.61,88,90,0.0,light snow
244,Yulara,AU,-25.2406,130.9889,78.64,14,17,8.05,few clouds
245,Nanortalik,GL,60.1432,-45.2371,24.78,65,3,5.08,clear sky
246,Praya,CV,14.9215,-23.5087,82.94,51,0,11.5,clear sky
247,Alyangula,AU,-13.8483,136.4192,78.67,100,40,5.75,light rain
248,Celina,US,40.5489,-84.5702,42.55,81,100,8.79,overcast clouds
249,Maraba,BR,-5.3686,-49.1178,84.38,79,90,4.61,overcast clouds
250,Ust-Tsilma,RU,65.441,52.1498,1.8,96,100,5.3,overcast clouds
251,Zheleznodorozhnyy,RU,55.7503,38.0042,18.12,100,73,2.77,broken clouds
252,Bumba,CD,2.1833,22.4667,78.53,71,98,5.3,overcast clouds
253,Porto Novo,BJ,6.4965,2.6036,87.62,60,76,11.7,broken clouds
254,Hlatikulu,SZ,-26.9667,31.3167,71.98,59,25,7.47,scattered clouds
255,Smithers,CA,54.7804,-127.1743,-9.08,77,90,0.0,overcast clouds
256,Garowe,SO,8.4054,48.4845,77.68,40,17,16.49,few clouds
257,Cabo San Lucas,MX,22.8909,-109.9124,75.51,63,1,11.5,clear sky
258,Ixtapa,MX,20.7,-105.2,75.22,78,18,1.01,few clouds
259,Shestakovo,RU,56.4915,103.96,-20.67,100,47,2.39,scattered clouds
260,Asau,RO,46.4333,26.4,25.95,93,93,0.47,overcast clouds
261,Kailua,US,21.4022,-157.7394,74.48,75,40,11.5,scattered clouds
262,Nara,JP,34.6851,135.8049,38.97,68,75,1.66,broken clouds
263,Chunskiy,RU,56.0815,99.6342,-2.45,99,98,1.88,overcast clouds
264,Sakaiminato,JP,35.55,133.2333,37.38,87,75,6.91,broken clouds
265,Viedma,AR,-40.8135,-62.9967,90.97,20,0,16.67,clear sky
266,Pisco,PE,-13.7,-76.2167,70.02,88,75,9.22,broken clouds
267,Sungurlu,TR,40.1675,34.3739,36.81,84,100,2.64,overcast clouds
268,Paamiut,GL,61.994,-49.6678,15.53,67,0,5.93,clear sky
269,Eydhafushi,MV,5.1033,73.0708,81.82,71,80,16.78,broken clouds
270,Bethel,US,41.3712,-73.414,44.55,85,20,1.01,few clouds
271,Biak,ID,-0.9131,122.8766,76.96,80,100,7.29,light rain
